,ald001,am001,ic001,ptsa,ptsa_dil_x_10,DMF
289,35,13.24137931,20,20.8,0,110.9586207
290,35,13.24137931,20,40,0,91.75862069
291,35,13.24137931,35,0,16,100.7586207
292,35,13.24137931,35,20.8,0,95.95862069
293,35,13.24137931,35,40,0,76.75862069
294,35,13.24137931,50,0,16,85.75862069
295,35,13.24137931,50,20.8,0,80.95862069
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
296,35,13.24137931,50,40,0,61.75862069
297,35,13.86206897,20,0,16,115.137931
298,35,13.86206897,20,20.8,0,110.337931
299,35,13.86206897,20,40,0,91.13793103
300,35,13.86206897,35,0,16,100.137931
301,35,13.86206897,35,20.8,0,95.33793103
302,35,13.86206897,35,40,0,76.13793103
303,35,13.86206897,50,0,16,85.13793103
304,35,13.86206897,50,20.8,0,80.33793103
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
305,35,13.86206897,50,40,0,61.13793103
306,35,14.48275862,20,0,16,114.5172414
307,35,14.48275862,20,20.8,0,109.7172414
308,35,14.48275862,20,40,0,90.51724138
309,35,14.48275862,35,0,16,99.51724138
310,35,14.48275862,35,20.8,0,94.71724138
311,35,14.48275862,35,40,0,75.51724138
312,35,14.48275862,50,0,16,84.51724138
313,35,14.48275862,50,20.8,0,79.71724138
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
314,35,14.48275862,50,40,0,60.51724138
315,35,15.10344828,20,0,16,113.8965517
316,35,15.10344828,20,20.8,0,109.0965517
317,35,15.10344828,20,40,0,89.89655172
318,35,15.10344828,35,0,16,98.89655172
319,35,15.10344828,35,20.8,0,94.09655172
320,35,15.10344828,35,40,0,74.89655172
321,35,15.10344828,50,0,16,83.89655172
322,35,15.10344828,50,20.8,0,79.09655172
0,0,0,0,0,0,0
