index,reaction_id,DMF,ald001,ptsa,am001,ic001
146,74,70.41724138,35,28.08275862,16.5,50
147,75,69.09310345,35,29.40689655,16.5,50
148,76,67.76896552,35,30.73103448,16.5,50
149,77,66.44482759,35,32.05517241,16.5,50
150,78,65.12068966,35,33.37931034,16.5,50
151,79,63.79655172,35,34.70344828,16.5,50
152,80,62.47241379,35,36.02758621,16.5,50
153,0,0,0,0,0,0
154,0,0,0,0,0,0
155,0,0,0,0,0,0
156,0,0,0,0,0,0
157,0,0,0,0,0,0
158,0,0,0,0,0,0
159,0,0,0,0,0,0
160,0,0,0,0,0,0
161,0,0,0,0,0,0
162,81,61.14827586,35,37.35172414,16.5,50
163,82,59.82413793,35,38.67586207,16.5,50
164,83,58.5,35,40,16.5,50
165,84,93.7137931,20,22.7862069,21,42.5
166,85,92.38965517,20,24.11034483,21,42.5
167,86,91.06551724,20,25.43448276,21,42.5
168,87,89.74137931,20,26.75862069,21,42.5
169,88,88.41724138,20,28.08275862,21,42.5
170,89,87.09310345,20,29.40689655,21,42.5
171,0,0,0,0,0,0
172,0,0,0,0,0,0
173,0,0,0,0,0,0
174,0,0,0,0,0,0
175,0,0,0,0,0,0
176,0,0,0,0,0,0
177,0,0,0,0,0,0
178,0,0,0,0,0,0
179,0,0,0,0,0,0
180,90,85.76896552,20,30.73103448,21,42.5
181,91,84.44482759,20,32.05517241,21,42.5
182,92,83.12068966,20,33.37931034,21,42.5
183,93,81.79655172,20,34.70344828,21,42.5
184,94,80.47241379,20,36.02758621,21,42.5
185,95,79.14827586,20,37.35172414,21,42.5
186,96,77.82413793,20,38.67586207,21,42.5
187,97,76.5,20,40,21,42.5
188,98,80.91724138,27.5,28.08275862,21,42.5
189,0,0,0,0,0,0
190,0,0,0,0,0,0
191,0,0,0,0,0,0
192,0,0,0,0,0,0
193,0,0,0,0,0,0
194,0,0,0,0,0,0
195,0,0,0,0,0,0
196,0,0,0,0,0,0
197,0,0,0,0,0,0
198,99,79.59310345,27.5,29.40689655,21,42.5
199,100,78.26896552,27.5,30.73103448,21,42.5
200,101,76.94482759,27.5,32.05517241,21,42.5
201,102,75.62068966,27.5,33.37931034,21,42.5
202,103,74.29655172,27.5,34.70344828,21,42.5
203,104,72.97241379,27.5,36.02758621,21,42.5
204,105,71.64827586,27.5,37.35172414,21,42.5
205,106,70.32413793,27.5,38.67586207,21,42.5
206,107,69,27.5,40,21,42.5
